Waarde;IMBRO;IMBRO/A;Omschrijving
I5667-11.93;✔;✔;ISO 5667-11:1993 en
I5667-2.93;✔;✔;NEN-ISO 5667-2:1993 en
I5667-3.12;✔;✔;NEN-EN-ISO 5667-3:2012 en
I5813.93;✔;✔;NEN-ISO 5813:1993 en
I5814.93;✔;✔;NEN-ISO 5814:1993 en
I5815-1.03;✔;✔;ISO 5815-1:2003 en
I5815-2.03;✔;✔;ISO 5815-2:2003 en
I5961.95;✔;✔;NEN-EN-ISO 5961:1995 nl
I6058.84;✔;✔;ISO 6058:1984 en
I6059.05;✔;✔;NEN-ISO 6059:2005 en
I6060.89;✔;✔;ISO 6060:1989 en
I6332.04;✔;✔;NEN-ISO 6332:2004 en
I6333.88;✔;✔;NEN-ISO 6333:1988 nl
I6340.93;✔;✔;NEN-ISO 6340:1993 en
I6439.90;✔;✔;ISO 6439:1990 en
I6468.97;✔;✔;NEN-EN-ISO 6468:1997 en
I6595.93;✔;✔;NEN-EN-ISO 6595:1993 en
I6703-1.84;✔;✔;ISO 6703-1:1984 en
I6703-2.84;✔;✔;ISO 6703-2:1984 en
I6703-3.84;✔;✔;ISO 6703-3:1984 en
I6777.93;✔;✔;NEN-ISO 6777:1993 en
I6778.84;✔;✔;ISO 6778:1984 en
I6878.04;✔;✔;NEN-EN-ISO 6878:2004 en
I7027.00;✔;✔;NEN-EN-ISO 7027:2000 en
I7027.16;✔;✔;NEN-EN-ISO 7027-1:2016 en
I7027.94;✔;✔;NEN-ISO 7027:1994 en
I7150-1.02;✔;✔;NEN-ISO 7150-1:2002 en
I7393-1.00;✔;✔;NEN-EN-ISO 7393-1:2000 en
I7393-2.00;✔;✔;NEN-EN-ISO 7393-2:2000 en
I7393-3.00;✔;✔;NEN-EN-ISO 7393-3:2000 en
I7875-1.96;✔;✔;ISO 7875-1:1996 en
I7875-2.84;✔;✔;ISO 7875-2:1984 en
I7887.12;✔;✔;NEN-EN-ISO 7887:2012 en
I7887.94;✔;✔;NEN-EN-ISO 7887:1994 en
I7888.94;✔;✔;NEN-ISO 7888:1994 en
I7890-3.99;✔;✔;NEN-ISO 7890-3:1999 en
I7899-1.98;✔;✔;NEN-EN-ISO 7899-1:1998 en
I7980.00;✔;✔;NEN-EN-ISO 7980:2000 en
I7981-1.05;✔;✔;NEN-ISO 7981-1:2005 en
I7981-2.05;✔;✔;NEN-ISO 7981-2:2005 en
I8165-1.92;✔;✔;ISO 8165-1:1992 en
I8165-2.99;✔;✔;ISO 8165-2:1999 en
I8245.99;✔;✔;ISO 8245:1999 en
I8288.86;✔;✔;ISO 8288:1986 en
I8467.95;✔;✔;NEN-EN-ISO 8467:1995 en
I9174.98;✔;✔;ISO 9174:1998 en
I9297.89;✔;✔;ISO 9297:1989 en
I9308-3.99;✔;✔;NEN-EN-ISO 9308-3:1999 en
I9377-1.00;✔;✔;NEN-EN-ISO 9377-1:2000 Ontw. en
I9377-2.00;✔;✔;NEN-EN-ISO 9377-2:2000 en
I9377-4.99;✔;✔;NEN-EN-ISO 9377-4:1999 Ontw. en
I9390.90;✔;✔;ISO 9390:1990 en
I9562.04;✔;✔;NEN-EN-ISO 9562:2004 en
I9697.92;✔;✔;ISO 9697:1992 en
I9698.89;✔;✔;ISO 9698:1989 en
I9963-1.94;✔;✔;ISO 9963-1:1994 en
I9963-1.96;✔;✔;NEN-EN-ISO 9963-1:1996 en
I9963-2.94;✔;✔;ISO 9963-2:1994 en
I9963-2.96;✔;✔;NEN-EN-ISO 9963-2:1996 en
I9964-1.93;✔;✔;ISO 9964-1:1993 en
I9964-2.93;✔;✔;ISO 9964-2:1993 en
I9964-3.93;✔;✔;ISO 9964-3:1993 en
I9965.93;✔;✔;ISO 9965:1993 en
KNMI5WIND.01;✔;✔;KNMI Handboek Waarnemingen, Hoofdstuk 5. Wind, maart 2001
KRW;✔;✔;Bepaling afgeleide waarde volgens KRW-methodiek
LEIDDPS:2012;✔;✔;Leidraad voor passive sampling 2012
MODEL;✔;✔;Waarde is bepaald/berekend volgens model
N12260.03;✔;✔;NEN-EN 12260:2003 en
N1233.97;✔;✔;NEN-EN 1233:1997 en,nl
N12338.98;✔;✔;NEN-EN 12338:1998 en
N12673.99;✔;✔;NEN-EN 12673:1999 en
N12880.01;✔;✔;NEN-EN 12880:2001 en
N12918.99;✔;✔;NEN-EN 12918:1999 en
N13506.01;✔;✔;NEN-EN 13506:2001 en
N13577.07;✔;✔;NEN-EN 13577:2007 en
N14207.03;✔;✔;NEN-EN 14207:2003 en
N14486.05;✔;✔;NEN-EN 14486:2005 en
N1483.07;✔;✔;NEN-EN 1483:2007 en
N1484.97;✔;✔;NEN-EN 1484:1997 en,nl
N15216.07;✔;✔;NEN-EN 15216:2007 en
N1622.06;✔;✔;NEN-EN 1622:2006 en
N1899-1.98;✔;✔;NEN-EN 1899-1:1998 en,nl
N1899-2.98;✔;✔;NEN-EN 1899-2:1998 en,nl
N3106.86;✔;✔;NEN 3106:1986 nl
N5622.06;✔;✔;NEN 5622: 2006 nl
N5623.02;✔;✔;NEN 5623:2002 nl
N5627.06;✔;✔;NEN 5627: 2006 nl
N5694+C1.11;✔;✔;NEN 5694:2007+C1:2011 nl
N5707+C1.06;✔;✔;NEN 5707:2003+C1:2006 nl
N5731.94;✔;✔;NEN 5731:1994 2e Ontw. nl
N5734.95;✔;✔;NEN 5734:1995 2e Ontw. nl
N5734.99;✔;✔;NEN 5734:1999
N5735.94;✔;✔;NEN 5735:1994 2e Ontw. nl
N5742.00;✔;✔;NEN 5742:2000 Ontw. nl
N5742.91;✔;✔;NEN 5742:1991 nl
N5747.90;✔;✔;NEN 5747:1990 nl
N5748.90;✔;✔;NEN 5748:1990 nl
N5750.89;✔;✔;NEN 5750:1989 nl
N5751.89;✔;✔;NEN 5751:1989 nl
N5753.06;✔;✔;NEN 5753:2006 nl
N5754.05;✔;✔;NEN 5754:2005 nl
N5757.91;✔;✔;NEN 5757:1991 nl
N5758.90;✔;✔;NEN 5758:1990 nl
N5759.90;✔;✔;NEN 5759:1990 nl
N5761.90;✔;✔;NEN 5761:1990 nl
N5762.91;✔;✔;NEN 5762:1991 nl
N5763.91;✔;✔;NEN 5763:1991 nl
N5764.89;✔;✔;NEN 5764:1989 nl
N5765.91;✔;✔;NEN 5765:1991 nl
N5767.91;✔;✔;NEN 5767:1991 nl
N5769.91;✔;✔;NEN 5769:1991 nl
N5777.94;✔;✔;NEN 5777:1994 nl
N5779.94;✔;✔;NEN 5779:1994 nl
N5897.14;✔;✔;NEN 5897:2014 Ontw. Nl
N6265.07;✔;✔;NEN 6265:2007 nl
N6274.95;✔;✔;NEN 6274:1995 nl
N6401.91;✔;✔;NEN 6401:1991 nl
N6402.10;✔;✔;NEN 6402:2010 nl
N6402.91;✔;✔;NEN 6402:1991 nl
N6403.98;✔;✔;NEN 6403:1998 nl
N6407.97;✔;✔;NEN 6407:1997 nl
N6408.99;✔;✔;NEN 6408:1999 nl
N6411.06;✔;✔;NEN 6411:2006 Ontw. nl
N6411.81;✔;✔;NEN 6411:1981 nl
N6412.79;✔;✔;NEN 6412:1979 nl
N6414.07;✔;✔;NEN 6414:2007 Ontw. nl
N6414.08;✔;✔;NEN 6414:2008 nl
N6414.88;✔;✔;NEN 6414:1988 nl
N6415.82;✔;✔;NEN 6415:1982 nl
N6420.86;✔;✔;NEN 6420:1986 nl
N6421.06;✔;✔;NEN 6421:2006 nl
N6424.88;✔;✔;NEN 6424:1988 nl
N6426.95;✔;✔;NEN 6426:1995 nl
N6427.99;✔;✔;NEN 6427:1999 nl
N6429.94;✔;✔;NEN 6429:1994 nl
N6430.94;✔;✔;NEN 6430:1994 nl
N6432.93;✔;✔;NEN 6432:1993 nl
N6433.93;✔;✔;NEN 6433:1993 nl
N6434.93;✔;✔;NEN 6434:1993 nl
N6435.97;✔;✔;NEN 6435:1997 nl
N6436.97;✔;✔;NEN 6436:1997 nl
N6437.82;✔;✔;NEN 6437:1982 nl
N6441.79;✔;✔;NEN 6441:1979 nl
N6442.79;✔;✔;NEN 6442:1979 nl
N6443.77;✔;✔;NEN 6443:1977 nl
N6444.77;✔;✔;NEN 6444:1977 nl
N6445.97;✔;✔;NEN 6445:1997 nl
N6448.81;✔;✔;NEN 6448:1981 nl
N6449.81;✔;✔;NEN 6449:1981 nl
N6451.80;✔;✔;NEN 6451:1980 nl
N6452.80;✔;✔;NEN 6452:1980 nl
N6453.80;✔;✔;NEN 6453:1980 nl
N6454.94;✔;✔;NEN 6454:1994 nl
N6455.81;✔;✔;NEN 6455:1981 nl
N6456.81;✔;✔;NEN 6456:1981 nl
N6457.94;✔;✔;NEN 6457:1994 nl
N6458.83;✔;✔;NEN 6458:1983 nl
N6460.81;✔;✔;NEN 6460:1981 nl
N6461.81;✔;✔;NEN 6443:1981 nl
N6462.82;✔;✔;NEN 6462:1982 nl
N6463.97;✔;✔;NEN 6463:1997 nl
N6465.92;✔;✔;NEN 6465:1992 nl
N6467.82;✔;✔;NEN 6467:1982 nl
N6468.94;✔;✔;NEN 6468:1994 nl
N6470.97;✔;✔;NEN 6470:1997 nl
N6471.81;✔;✔;NEN 6471:1981 nl
N6472.83;✔;✔;NEN 6472:1983 nl
N6476.81;✔;✔;NEN 6476:1981 nl
N6480.82;✔;✔;NEN 6480:1982 nl
N6481.83;✔;✔;NEN 6481:1983 nl
N6482.82;✔;✔;NEN 6482:1982 nl
N6483.82;✔;✔;NEN 6483:1982 nl
N6484.06;✔;✔;NEN 6484:2006 Ontw. nl
N6484.07;✔;✔;NEN 6484:2007 nl
N6484.82;✔;✔;NEN 6484:1982 nl
N6485.83;✔;✔;NEN 6485:1983 nl
N6486.84;✔;✔;NEN 6486:1984 nl
N6487.97;✔;✔;NEN 6487:1997 nl
N6490.82;✔;✔;NEN 6490:1982 nl
N6493.87;✔;✔;NEN 6493:1987 nl
N6494.84;✔;✔;NEN 6494:1984 nl
N6495.84;✔;✔;NEN 6495:1984 nl
N6499.05;✔;✔;NEN 6499:2005 nl
N6499.10;✔;✔;NEN 6499:2010 nl
N6520.06;✔;✔;NEN 6520:2006 nl
N6521.91;✔;✔;NEN 6521:1991 nl
N6523.90;✔;✔;NEN 6523:1990 nl
N6524.84;✔;✔;NEN 6524:1984 nl
N6526.06;✔;✔;NEN 6526:2006 nl
N6527.00;✔;✔;NEN 6527:2000 nl
N6530.86;✔;✔;NEN 6530:1986 nl
N6531.86;✔;✔;NEN 6531:1986 nl
N6532.86;✔;✔;NEN 6532:1986 nl
N6533.90;✔;✔;NEN 6533:1990 nl
N6535.86;✔;✔;NEN 6535:1986 nl
N6536.90;✔;✔;NEN 6536:1990 nl
N6539.91;✔;✔;NEN 6539:1991 nl
N6541.91;✔;✔;NEN 6541:1991 nl
N6542.96;✔;✔;NEN 6542:1996 nl
N6544.90;✔;✔;NEN 6544:1990 nl
N6545.85;✔;✔;NEN 6545:1985 nl
N6547.86;✔;✔;NEN 6547:1986 nl
N6548.88;✔;✔;NEN 6548:1988 nl
N6549.88;✔;✔;NEN 6549:1988 nl
N6563.82;✔;✔;NEN 6563:1982 nl
N6567.85;✔;✔;NEN 6567:1985 nl
N6576.85;✔;✔;NEN 6576:1985 nl
N6577.85;✔;✔;NEN 6577:1985 nl
N6578.85;✔;✔;NEN 6578:1985 nl
N6579.85;✔;✔;NEN 6579:1985 nl
N6580.85;✔;✔;NEN 6580:1985 nl
N6581.85;✔;✔;NEN 6581:1985 nl
N6582.85;✔;✔;NEN 6582:1985 nl
N6587.90;✔;✔;NEN 6587:1990 nl
N6589.05;✔;✔;NEN 6589:2005 nl
N6591.90;✔;✔;NEN 6591:1990 nl
N6594.93;✔;✔;NEN 6594:1993 nl
N6604.07;✔;✔;NEN 6604:2007 nl
N6606.07;✔;✔;NEN 6606:2007 Ontw. nl
N6606.09;✔;✔;NEN 6606:2009 nl
N6606.92;✔;✔;NEN 6606:1992 nl
N6608.96;✔;✔;NEN 6608:1996 nl
N6609.97;✔;✔;NEN 6609:1997 nl
N6611.97;✔;✔;NEN 6611:1997 nl
N6612.97;✔;✔;NEN 6612:1997 nl
N6619.92;✔;✔;NEN 6619:1992 nl
N6620.86;✔;✔;NEN 6620:1986 nl
N6621.88;✔;✔;NEN 6621:1988 nl
N6623.05;✔;✔;NEN 6623:2005 nl
N6633.06;✔;✔;NEN 6633:2006/A1:2007 nl
N6633.98;✔;✔;NEN 6633:1998 nl
N6634.91;✔;✔;NEN 6634:1991 nl
N6641.83;✔;✔;NEN 6641:1983 nl
N6642.92;✔;✔;NEN 6642:1992 nl
N6643.03;✔;✔;NEN 6643:2003 nl
N6644.83;✔;✔;NEN 6644:1983 nl
N6645.05;✔;✔;NEN 6645:2005 nl
N6646+C1.15;✔;✔;NEN 6646+C1:2015 nl
N6646.06;✔;✔;NEN 6646:2006 nl
N6646.15;✔;✔;NEN 6646:2015 nl
N6651.92;✔;✔;NEN 6651:1992 nl
N6652.92;✔;✔;NEN 6652:1992 nl
N6653.92;✔;✔;NEN 6653:1992 nl
N6654.92;✔;✔;NEN 6654:2005 nl
N6655.92;✔;✔;NEN 6655:1992 Ontw. nl
N6655.97;✔;✔;NEN 6655:1997 nl
N6662.85;✔;✔;NEN 6662:1985 nl
N6663.87;✔;✔;NEN 6663:1987 nl
N6669.81;✔;✔;NEN 6669:1981 nl
N6670.03;✔;✔;NEN 6670:2003 nl
N6671.13;✔;✔;NEN 6671:2013 nl
N6671.94;✔;✔;NEN 6671:1994 nl
N6672.94;✔;✔;NEN 6672:1994 nl
N6674.81;✔;✔;NEN 6674:1981 nl
N6675.89;✔;✔;NEN 6675:1989 nl
N6676.94;✔;✔;NEN 6676:1994 nl
N6953.05;✔;✔;NEN 6953:2005 nl
N6953.17;✔;✔;NEN 6953:2017 nl
N6961.05;✔;✔;NEN 6961:2005 nl
N6961.13;✔;✔;NEN 6961:2013 Ontw. Nl
N6963.05;✔;✔;NEN 6963:2005 nl
N6964+C1.06;✔;✔;NEN 6964:2005+C1:2006 nl
N6964.05;✔;✔;NEN 6964:2005 nl
N6965+C1.06;✔;✔;NEN 6965:2005+C1:2006 nl
N6965.05;✔;✔;NEN 6965:2005 nl
N6966+C1.06;✔;✔;NEN 6966:2005+C1:2006 nl
N6966.05;✔;✔;NEN 6966:2005 nl
N6970.08;✔;✔;NEN 6970:2008 nl
N6975.08;✔;✔;NEN 6975:2008 nl
N6978.08;✔;✔;NEN 6978:2008 nl
N6980+C1.10;✔;✔;NEN 6980:2008+C1:2010 nl
N7341.95;✔;✔;NEN 7341:1995 nl
N7343.95;✔;✔;NEN 7343:1995 nl
N7345.95;✔;✔;NEN 7345:1995 nl
N7349.95;✔;✔;NEN 7349:1995 nl
N872.05;✔;✔;NEN-EN 872:2005 en
N903.94;✔;✔;NEN-EN 903:1994 en
Notove;✔;✔;Bepaling toetsoordeel (+ of -) met/volgens Notove-methodiek
OVAM2IB1;✔;✔;OVAM afvalstoffencompendium 2/I/B.1
OVAM2IC2.3;✔;✔;OVAM afvalstoffencompendium 2/I/C.2.3
OVAM2IIA3;✔;✔;OVAM afvalstoffencompendium 2/II/A.3
OVAM2IIA6;✔;✔;OVAM afvalstoffencompendium 2/II/A.6
OVAM3B;✔;✔;OVAM afvalstoffencompendium 3/B
OVAM3I;✔;✔;OVAM afvalstoffencompendium 3/I
OVAM3N;✔;✔;OVAM afvalstoffencompendium 3/N
OVAM3R1;✔;✔;OVAM afvalstoffencompendium 3/R1
P3210-1.16;✔;✔;prestatieblad 3210-1, 23-06-2016 (droge stof)
P3210-2.16;✔;✔;prestatieblad 3210-2, 23-06-2016 (organische stof)
P3210-3.16;✔;✔;prestatieblad 3210-3, 23-06-2016 (korrelgroottefractie)
P3210-4.16;✔;✔;prestatieblad 3210-4, 23-06-2016 (metalen)
P3210-5.16;✔;✔;prestatieblad 3210-5, 23-06-2016 (PAK)
P3210-6.16;✔;✔;prestatieblad 3210-6, 23-06-2016 (minerale olie)
P3210-7.16;✔;✔;prestatieblad 3210-7, 23-06-2016 (PCB)
P3220-1.16;✔;✔;prestatieblad 3220-1, 23-06-2016 (OCB)
P3220-2.16;✔;✔;prestatieblad 3220-2, 23-06-2016 (OCB overig)
P3250-1.16;✔;✔;prestatieblad 3250-1, 23-06-2016 (metalen)
P3260-1.11;✔;✔;prestatieblad 3260-1, 10-2-2011 (pentachloorfenol)
P5637.06;✔;✔;NPR 5637:2006 nl
P5638.06;✔;✔;NPR 5638:2006 nl
P6266.14;✔;✔;NPR 6266:2014 nl
P6266.91;✔;✔;NPR 6266:1991 nl
P6400.88;✔;✔;NPR 6400:1988 nl
P6416.95;✔;✔;NPR 6416:1995 nl
P6417.97;✔;✔;NPR 6417:1997 nl
P6425.95;✔;✔;NPR 6425:1995 nl
P6537.88;✔;✔;NPR 6537:1988 nl
P6538.90;✔;✔;NPR 6538:1990 nl
P6546.88;✔;✔;NPR 6546:1988 nl
P6600.93;✔;✔;NPR 6600:1993 nl
P6616.82;✔;✔;NPR 6616:1982 nl
PZMJK-A;✔;✔;Protocol Zwemmersjeuk 2011 - A diagnose aandoening
PZMJK-C;✔;✔;Protocol Zwemmersjeuk 2011 - C slakken met Trichobilharzia
PZMJK-D;✔;✔;Protocol Zwemmersjeuk 2011 - D DNA Trichobilharzia in water
RWS-RMI.10;✔;✔;RWS Standaard voor inwinning hydrol. en meteo. gegevens 2010
RWSV-A1.002;✔;✔;RWS Analysevoorschrift-A1.002
RWSV-A1.019;✔;✔;RWS Analysevoorschrift-A1.019
RWSV-A1.032;✔;✔;RWS Analysevoorschrift-A1.032
RWSV-A1.033;✔;✔;RWS Analysevoorschrift-A1.033
RWSV-A1.035;✔;✔;RWS Analysevoorschrift-A1.035
RWSV-A1.040;✔;✔;RWS Analysevoorschrift-A1.040
RWSV-A1.072;✔;✔;RWS Analysevoorschrift-A1.072
RWSV-A1.085;✔;✔;RWS Analysevoorschrift-A1.085
RWSV-A1.086;✔;✔;RWS Analysevoorschrift-A1.086
RWSV-A3.010;✔;✔;RWS Analysevoorschrift-A3.010
RWSV-A4.411;✔;✔;RWS Analysevoorschrift-A4.411
RWSV-A5.380;✔;✔;RWS Analysevoorschrift-A5.380
RWSV-A5.390;✔;✔;RWS Analysevoorschrift-A5.390
RWSV-A5.393;✔;✔;RWS Analysevoorschrift-A5.393
RWSV-A5.398;✔;✔;RWS Analysevoorschrift-A5.398
RWSV-A5.427;✔;✔;RWS Analysevoorschrift-A5.427
RWSV-W006;✔;✔;RWSV 913.00.W006
RWSV-W007;✔;✔;RWSV 913.00.W007
RWSV-W008;✔;✔;RWSV 913.00.W008
RWSV-W009;✔;✔;RWSV 913.00.W009
RWSV-W012;✔;✔;RWSV 913.00.W012
T11370.00;✔;✔;ISO/TS 11370:2000 en
T11905-2.97;✔;✔;ISO/TR 11905-2:1997 en
T8200.02;✔;✔;NTA 8200:2002 en
T8204.03;✔;✔;NTA 8204:2003 nl
Towabo;✔;✔;Bepaling waterbodemklasse volgens Towabo-methodiek
V2946.89;✔;✔;NVN 2946:1989 nl
V5694.96;✔;✔;NVN 5694:1996 nl (vervallen)
V5718.94;✔;✔;NVN 5718:1994 nl
V5730.91;✔;✔;NVN 5730:1991 nl
V5732.99;✔;✔;NVN 5732:1999 nl
V5770.93;✔;✔;NVN 5770:1993 nl
V6404.00;✔;✔;NVN 6404:2000 nl
V6409.97;✔;✔;NVN 6409:1997 nl
V6419.06;✔;✔;NVN 6419:2006 Ontw. nl
V6590.90;✔;✔;NVN 6590:1990 nl
V6592.90;✔;✔;NVN 6592:1990 nl
V6678.97;✔;✔;NVN 6678:1997 nl
V6982.06;✔;✔;NVN 6982:2006 Ontw. nl
V6983.06;✔;✔;NVN 6983:2006 Ontw. nl
V6984.06;✔;✔;NVN 6984:2006 Ontw. nl
V7321.97;✔;✔;NVN 7321:1997 nl
V7322.97;✔;✔;NVN 7322:1997 nl
V7324.97;✔;✔;NVN 7324:1997 nl
V7350.95;✔;✔;NVN 7350:1995 Ontw. Nl
VOORLOPIG;✔;✔;Voorlopige bepaling klasse door deskundige
ZINTUIGLIJK;✔;✔;Niet genormaliseerde zintuiglijke waardebepaling
iWSR;✔;✔;Bepaling waarde / waterindex (0-100) volgens iWSR-methodiek
