ID;aquocode;CASnummer;omschrijving;eenheid;hoedanigheid
394;BrOxnl;1689-84-5;broomoxynil;ug/l;NVT
395;halon1011;74-97-5;broomchloormethaan;ug/l;NVT
396;DClBrC1a;75-27-4;dichloorbroommethaan;ug/l;NVT
400;Brpplt;18181-80-1;broompropylaat;ug/l;NVT
401;sMAK;NVT;som monocyclische aromatische koolwaterstoffen (BTEX);ug/l;NVT
403;buprmt;41483-43-6;bupirimaat;ug/l;NVT
406;C4ol;71-36-3;butanol;ug/l;NVT
407;butcbOxm;34681-10-2;butocarboxim;ug/l;NVT
409;butcbOxmSO;34681-24-8;butocarboximsulfoxide;ug/l;NVT
412;C4yactt;123-86-4;butylacetaat;ug/l;NVT
441;Cd;7440-43-9;cadmium;ug/l;nf
442;caffine;58-08-2;caffeine;ug/l;NVT
447;Ca;7440-70-2;calcium;mg/l;nf
456;captn;133-06-2;captan;ug/l;NVT
458;carbrl;63-25-2;carbaryl;ug/l;NVT
460;carbdzm;10605-21-7;carbendazim;ug/l;NVT
462;carbfrn;1563-66-2;carbofuran;ug/l;NVT
464;CO3;3812-32-6;carbonaat;mg/l;NVT
466;12DHOxBen;120-80-9;1,2-dihydroxybenzeen;ug/l;NVT
468;Cs;7440-46-2;cesium;ug/l;nf
478;Clbmrn;13360-45-7;chloorbromuron;ug/l;NVT
482;sClFol;NVT;som chloorfenolen;ug/l;NVT
487;Clfvfs;470-90-6;chloorfenvinfos;ug/l;NVT
492;Clpfm;101-21-3;chloorprofam;ug/l;NVT
494;C2yClprfs;2921-88-2;ethylchloorpyrifos;ug/l;NVT
496;C1yClprfs;5598-13-0;methylchloorpyrifos;ug/l;NVT
497;Cltlnl;1897-45-6;chloorthalonil;ug/l;NVT
503;Cltlrn;15545-48-9;chloortoluron;ug/l;NVT
507;Clidzn;1698-60-8;chloridazon;ug/l;NVT
508;Cl;16887-00-6;chloride;mg/l;NVT
517;Cr;7440-47-3;chroom;ug/l;nf
518;Chr;218-01-9;chryseen;ug/l;NVT
519;sDClC2e;NVT;som dichlooretheen-isomeren;ug/l;NVT
520;c12DClC2e;156-59-2;cis-1,2-dichlooretheen;ug/l;NVT
521;c13DClC3e;10061-01-5;cis-1,3-dichloorpropeen;ug/l;NVT
522;cCldn;5103-71-9;cis-chloordaan;ug/l;NVT
526;cloprld;1702-17-6;clopyralid;ug/l;NVT
527;Co;7440-48-4;kobalt;ug/l;nf
530;cumfs;56-72-4;cumafos;ug/l;NVT
534;CNazne;21725-46-2;cyanazine;ug/l;NVT
540;cycC6a;110-82-7;cyclohexaan;ug/l;NVT
542;cycC6on;108-94-1;cyclohexanon;ug/l;NVT
546;cyhltn;68085-85-8;cyhalothrin;ug/l;NVT
547;cypmtn;52315-07-8;cypermethrin;ug/l;NVT
555;sDDX6;NVT;som 2,4'-, 4,4'-DDT, 2,4'-, 4,4'-DDD, 2,4'- en 4,4'-DDE;ug/l;NVT
558;C10a;124-18-5;decaan;ug/l;NVT
562;dHCH;319-86-8;delta-hexachloorcyclohexaan;ug/l;NVT
563;dmtn;52918-63-5;deltamethrin;ug/l;NVT
568;C1yOxdmtn;301-12-2;methyloxydemeton;ug/l;NVT
571;desC2yatzne;6190-65-4;desethylatrazine;ug/l;NVT
573;desiC3yatzne;1007-28-9;desisopropylatrazine;ug/l;NVT
574;desmtn;1014-69-3;desmetryn;ug/l;NVT
577;DiC4yFt;84-69-5;diisobutylftalaat;ug/l;NVT
583;DiC3yEtr;108-20-3;diisopropylether;ug/l;NVT
592;Daznn;333-41-5;diazinon;ug/l;NVT
593;DBahAnt;53-70-3;dibenzo(a,h)antraceen;ug/l;NVT
597;DBrClC1a;124-48-1;dibroomchloormethaan;ug/l;NVT
598;DBrC1a;74-95-3;dibroommethaan;ug/l;NVT
600;DC4yFt;84-74-2;dibutylftalaat;ug/l;NVT
602;Dcba;1918-00-9;dicamba;ug/l;NVT
603;Dcbnl;1194-65-6;dichlobenil;ug/l;NVT
604;Dcfton;97-17-6;dichlofenthion;ug/l;NVT
605;Dcfande;1085-98-9;dichlofluanide;ug/l;NVT
615;sDClFol6;NVT;som 6 dichloorfenolen (Bbk, 1-1-2008);ug/l;NVT
619;DClC1a;75-09-2;dichloormethaan;ug/l;NVT
624;DClvs;62-73-7;dichloorvos;ug/l;NVT
625;26DCl4NO2An;99-30-9;2,6-dichloor-4-nitroaniline;ug/l;NVT
629;Dcfl;115-32-2;dicofol;ug/l;NVT
632;DccPeDen;77-73-6;dicyclopentadieen;ug/l;NVT
633;dieldn;60-57-1;dieldrin;ug/l;NVT
641;DC2yEtr;60-29-7;diethylether;mg/l;NVT
642;DC2yFt;84-66-2;diethylftalaat;ug/l;NVT
648;Dfbzrn;35367-38-5;diflubenzuron;ug/l;NVT
649;DC7yFt;3648-21-3;diheptylftalaat;ug/l;NVT
650;DC6yFt;84-75-3;dihexylftalaat;ug/l;NVT
651;Dmfrn;34205-21-5;dimefuron;ug/l;NVT
653;Dmtat;60-51-5;dimethoaat;ug/l;NVT
658;DC1yDS;624-92-0;dimethyldisulfide;ug/l;NVT
660;DC1yfAd;68-12-2;dimethylformamide;ug/l;NVT
661;DC1yFt;131-11-3;dimethylftalaat;ug/l;NVT
663;DC1yS;75-18-3;dimethylsulfide;ug/l;NVT
668;DNOC;534-52-1;4,6-dinitro-o-cresol;ug/l;NVT
669;24DNO2Fol;51-28-5;2,4-dinitrofenol;ug/l;NVT
671;Dnsb;88-85-7;dinoseb;ug/l;NVT
672;Dntb;1420-07-1;dinoterb;ug/l;NVT
674;DC8yFt;117-84-0;dioctylftalaat;ug/l;NVT
677;DC5yFt;131-18-0;dipentylftalaat;ug/l;NVT
679;DC3yFt;131-16-8;dipropylftalaat;ug/l;NVT
680;Dsftn;298-04-4;disulfoton;ug/l;NVT
681;sDtocbmt;NVT;som dithiocarbamaten;ug/l;CS2
683;Durn;330-54-1;diuron;ug/l;NVT
690;sdrin5;NVT;som aldrin, dieldrin, endrin, isodrin en telodrin;ug/l;NVT
699;Dy;7429-91-6;dysprosium;ug/l;nf
703;endsfSO4;1031-07-8;endosulfansulfaat;ug/l;NVT
704;endn;72-20-8;endrin;ug/l;NVT
708;sEOX;NVT;som extraheerbare organische halogeenverbindingen;ug/l;NVT
713;EPTC;759-94-4;ethyldipropylthiocarbamaat;ug/l;NVT
718;etofcb;29973-13-5;ethiofencarb;ug/l;NVT
719;eton;563-12-2;ethion;ug/l;NVT
721;etfmst;26225-79-6;ethofumesaat;ug/l;NVT
722;etpfs;13194-48-4;ethoprofos;ug/l;NVT
725;C2yactt;141-78-6;ethylacetaat;ug/l;NVT
728;C2yBen;100-41-4;ethylbenzeen;ug/l;NVT
730;EDTA;60-00-4;ethyleendiaminetetraethaanzuur (EDTA);ug/l;NVT
732;glycl;107-21-1;glycol (monoethyleenglycol);ug/l;NVT
733;C2yetourum;96-45-7;ethyleenthioureum;ug/l;NVT
738;C2yprton;56-38-2;ethylparathion;ug/l;NVT
740;eTDazl;2593-15-9;etridiazol;ug/l;NVT
741;etfs;38260-54-7;etrimfos;ug/l;NVT
745;fenamfs;22224-92-6;fenamifos;ug/l;NVT
746;Fen;85-01-8;fenantreen;ug/l;NVT
747;fenarml;60168-88-9;fenarimol;ug/l;NVT
749;fenClfs;299-84-3;fenchloorfos;ug/l;NVT
750;feNO2ton;122-14-5;fenitrothion;ug/l;NVT
751;Fol;108-95-2;fenol;ug/l;NVT
759;fenpratn;39515-41-8;fenpropathrin;ug/l;NVT
760;fenton;55-38-9;fenthion;ug/l;NVT
762;fenvlrt;51630-58-1;fenvaleraat;ug/l;NVT
767;sFUH;NVT;som fenylureumherbiciden;ug/l;NVT
773;fluaznm;79622-59-6;fluazinam;ug/l;NVT
775;Flu;206-44-0;fluorantheen;ug/l;NVT
777;Fle;86-73-7;fluoreen;ug/l;NVT
784;fonfs;944-22-9;fonofos;ug/l;NVT
785;C1al;50-00-0;methanal (formaldehyde);ug/l;NVT
787;fosln;2310-17-0;fosalon;ug/l;NVT
793;fosfmdn;13171-21-6;fosfamidon;ug/l;NVT
798;fosmt;732-11-6;fosmet;ug/l;NVT
809;furlxl;57646-30-7;furalaxyl;ug/l;NVT
813;Gd;7440-54-2;gadolinium;ug/l;nf
815;Ga;7440-55-3;gallium;ug/l;nf
816;cHCH;58-89-9;gamma-hexachloorcyclohexaan (lindaan);ug/l;NVT
840;glyfst;1071-83-6;glyfosaat;ug/l;NVT
851;C7a;142-82-5;heptaan;ug/l;NVT
853;HpCl;76-44-8;heptachloor;ug/l;NVT
857;sHpClepO;NVT;som heptachloorepoxide (som cis- en trans-);ug/l;NVT
859;heptnfs;23560-59-0;heptenofos;ug/l;NVT
860;C6a;110-54-3;hexaan;ug/l;NVT
861;HCB;118-74-1;hexachloorbenzeen;ug/l;NVT
865;HxClC2a;67-72-1;hexachloorethaan;ug/l;NVT
871;Hxznn;51235-04-2;hexazinon;ug/l;NVT
875;14DHOxBen;123-31-9;1,4-dihydroxybenzeen;ug/l;NVT
879;Fe;7439-89-6;ijzer;ug/l;nf
880;inda;496-11-7;indaan;ug/l;NVT
882;InP;193-39-5;indeno(1,2,3-cd)pyreen;ug/l;NVT
889;iOxnl;1689-83-4;ioxynil;ug/l;NVT
890;ipDon;36734-19-7;iprodion;ug/l;NVT
903;cumn;98-82-8;cumeen;ug/l;NVT
907;idn;465-73-6;isodrin;ug/l;NVT
913;iptrn;34123-59-6;isoproturon;ug/l;NVT
920;K;07/09/7440;kalium;mg/l;nf
921;PMV;NVT;Kaliumpermanganaat verbruik;mg/l;NVT
967;CS2;75-15-0;koolstofdisulfide;ug/l;NVT
971;Cu;7440-50-8;koper;ug/l;nf
1097;Hg;7439-97-6;kwik;ug/l;nf
1112;La;7439-91-0;lanthaan;ug/l;nf
1114;linrn;330-55-2;linuron;ug/l;NVT
1115;Li;7439-93-2;lithium;ug/l;nf
1116;Pb;7439-92-1;lood;ug/l;nf
1125;Mg;7439-95-4;magnesium;mg/l;nf
1127;malton;121-75-5;malathion;ug/l;NVT
1128;Mn;7439-96-5;mangaan;ug/l;nf
1139;2benztazetol;149-30-4;2-benzothiazolethiol;ug/l;NVT
1143;s1314xyln;NVT;som 1,3- en 1,4-xyleen;ug/l;NVT
1145;mcresl;108-39-4;m-cresol;ug/l;NVT
1147;13xyln;108-38-3;1,3-xyleen;ug/l;NVT
1148;metbtazrn;18691-97-9;metabenzthiazuron;ug/l;NVT
1149;mlxl;57837-19-1;metalaxyl;ug/l;NVT
1151;mmtn;41394-05-2;metamitron;ug/l;NVT
1152;mzCl;67129-08-2;metazachloor;ug/l;NVT
1154;C1ol;67-56-1;methanol;ug/l;NVT
1155;metdton;950-37-8;methidathion;ug/l;NVT
1156;metocbsfn;2179-25-1;methiocarbsulfon;ug/l;NVT
1157;metocbSO;01/10/2635;methiocarbsulfoxide;ug/l;NVT
1158;metml;16752-77-5;methomyl;ug/l;NVT
1159;C1oxCl;72-43-5;methoxychloor;ug/l;NVT
1163;C1yttC4yEtr;1634-04-4;methyl-tertiair-butylether;ug/l;NVT
1171;2C4on;78-93-3;2-butanon (MEK);ug/l;NVT
1175;4C1y2C5on;108-10-1;4-methyl-2-pentanon (MIBK);ug/l;NVT
1176;C1yitoCN;556-61-6;methylisothiocyanaat;ug/l;NVT
1177;C1ymtclt;80-62-6;methylmethacrylaat;ug/l;NVT
1179;C1yprton;298-00-0;methylparathion;ug/l;NVT
1184;metbmrn;3060-89-7;metobromuron;ug/l;NVT
1185;metlCl;51218-45-2;metolachloor;ug/l;NVT
1187;metxrn;19937-59-8;metoxuron;ug/l;NVT
1188;metbzn;21087-64-9;metribuzin;ug/l;NVT
1191;mevfs;7786-34-7;mevinfos;ug/l;NVT
1243;Mo;7439-98-7;molybdeen;ug/l;nf
1246;ClBen;108-90-7;chloorbenzeen;ug/l;NVT
1247;ClC2a;75-00-3;chloorethaan;ug/l;NVT
1248;sMClFol;NVT;som monochloorfenol-isomeren;ug/l;NVT
1253;Mlnrn;1746-81-2;monolinuron;ug/l;NVT
1254;monrn;150-68-5;monuron;ug/l;NVT
1255;C4yBen;104-51-8;butylbenzeen;ug/l;NVT
1259;Naf;91-20-3;naftaleen;ug/l;NVT
1262;Na;7440-23-5;natrium;mg/l;nf
1265;Nd;7440-00-8;neodymium;ug/l;nf
1267;Ni;7440-02-0;nikkel;ug/l;nf
1268;Nb;01/03/7440;niobium;ug/l;nf
1270;NO3;14797-55-8;nitraat;mg/l;Nnf
1273;NO2;14797-65-0;nitriet;mg/l;Nnf
1278;C9a;111-84-2;nonaan;ug/l;NVT
1285;nuarml;63284-71-9;nuarimol;ug/l;NVT
1287;C8a;111-65-9;octaan;ug/l;NVT
1289;PCDD75;3268-87-9;1,2,3,4,6,7,8,9-octachloordibenzo-p-dioxine;ug/l;NVT
1290;PCDF135;39001-02-0;1,2,3,4,6,7,8,9-octachloordibenzofuraan;ug/l;NVT
1318;Corg;NVT;koolstof organisch;mg/l;Cnf
1331;ocresl;95-48-7;o-cresol;ug/l;NVT
1332;2FyFol;90-43-7;2-fenylfenol;ug/l;NVT
1334;PO4;14265-44-2;fosfaat;mg/l;Pnf
1341;12xyln;95-47-6;1,2-xyleen;ug/l;NVT
1343;Oaml;23135-22-0;oxamyl;ug/l;NVT
1348;PGETAL;NVT;P-getal;mmol/l;nf
1352;sPAK10;NVT;som 10 polycyclische aromatische koolwaterstoffen (VROM);ug/l;NVT
1353;sPAK16;NVT;som 16 polycyclische aromatische koolwaterstoffen (EPA);ug/l;NVT
1356;Pd;03/05/7440;palladium;ug/l;NVT
1359;pcresl;106-44-5;p-cresol;ug/l;NVT
1362;14xyln;106-42-3;1,4-xyleen;ug/l;NVT
1372;PCB101;37680-73-2;2,2',4,5,5'-pentachloorbifenyl;ug/l;NVT
1373;PCB105;32598-14-4;2,3,3',4,4'-pentachloorbifenyl;ug/l;NVT
1374;PCB118;31508-00-6;2,3',4,4',5-pentachloorbifenyl;ug/l;NVT
1376;PCB138;35065-28-2;2,2',3,4,4',5'-hexachloorbifenyl;ug/l;NVT
1377;PCB153;35065-27-1;2,2',4,4',5,5'-hexachloorbifenyl;ug/l;NVT
1378;PCB156;38380-08-4;2,3,3',4,4',5-hexachloorbifenyl;ug/l;NVT
1380;PCB180;35065-29-3;2,2',3,4,4',5,5'-heptachloorbifenyl;ug/l;NVT
1381;PCB28;7012-37-5;2,4,4'-trichloorbifenyl;ug/l;NVT
1382;PCB52;35693-99-3;2,2',5,5'-tetrachloorbifenyl;ug/l;NVT
1384;C5a;109-66-0;pentaan;ug/l;NVT
1385;PeClAn;527-20-8;pentachlooraniline;ug/l;NVT
1387;PeClBen;608-93-5;pentachloorbenzeen;ug/l;NVT
1390;PeClFol;87-86-5;pentachloorfenol;ug/l;NVT
1394;permtn;52645-53-1;permethrin;ug/l;NVT
1398;pH;NVT;Zuurgraad;1;NVT
1405;piprnbO;51-03-6;piperonyl-butoxide;ug/l;NVT
1406;pirmcb;23103-98-2;pirimicarb;ug/l;NVT
1407;C2yprmfs;23505-41-1;ethylpirimifos;ug/l;NVT
1408;C1yprmfs;29232-93-7;methylpirimifos;ug/l;NVT
1410;Pt;04/06/7440;platina;ug/l;NVT
1414;Pr;7440-10-0;praseodymium;ug/l;nf
1416;proClaz;67747-09-5;prochloraz;ug/l;NVT
1417;procmdn;32809-16-8;procymidon;ug/l;NVT
1418;profm;122-42-9;profam;ug/l;NVT
1421;promtne;7287-19-6;prometryne;ug/l;NVT
1422;propCl;1918-16-7;propachloor;ug/l;NVT
1424;propmcb;24579-73-5;propamocarb;ug/l;NVT
1427;propzne;139-40-2;propazine;ug/l;NVT
1429;propcnzl;60207-90-1;propiconazol (som cis- en trans-);ug/l;NVT
1432;propxr;114-26-1;propoxur;ug/l;NVT
1434;1C3yBen;103-65-1;1-propylbenzeen;ug/l;NVT
1438;propAd;23950-58-5;propyzamide;ug/l;NVT
1444;pyrazfs;13457-18-6;pyrazofos;ug/l;NVT
1445;Pyr;129-00-0;pyreen;ug/l;NVT
1451;pyrdne;110-86-1;pyridine;ug/l;NVT
1455;PeClNO2Ben;82-68-8;pentachloornitrobenzeen (quintozeen);ug/l;NVT
1456;REDPTTAL;NVT;Redoxpotentiaal;mV;NVT
1460;13DHOxBen;108-46-3;1,3-dihydroxybenzeen;ug/l;NVT
1461;Rh;7440-16-6;rhodium;ug/l;NVT
1466;Sm;7440-19-9;samarium;ug/l;nf
1469;Sc;7440-20-2;scandium;ug/l;nf
1473;seC4yazne;7286-69-3;sebutylazine;ug/l;NVT
